Overview,Website,Industry,Company size,Headquarters,Founded,Specialties,Phone
"The National Stock Exchange of India Limited, India’s largest stock exchange & world’s largest derivatives exchange. Follow us for updates on exchange traded products, insight on capital markets, Indian economy and  investor education. Disclaimer - https://bit.ly/3xgvlFQ",http://www.nseindia.com,Capital Markets,"501-1,000 employees 2,461 on LinkedIn
            
 



    Includes members with current employer listed as National Stock Exchange of India Limited, including part-time roles.","Mumbai, Maharastra",1992,,
"FlexTrade Systems Inc., is the industry pioneer and global leader in broker-neutral, execution and order management trading platforms for equities, foreign exchange, options, futures and fixed income. FlexTRADER, our award-winning flagship platform for algorithmic trading, is widely viewed as unique in the industry for its high performance and multi-asset capability. With offices in North America, Europe and Asia, FlexTrade has a worldwide client base spanning more than 225 buy- and sell-side firms.",http://www.flextrade.com,Financial Services,"501-1,000 employees 547 on LinkedIn
            
 



    Includes members with current employer listed as FlexTrade, including part-time roles.","Great Neck, New York",1996,"Multi-Asset Trading, Electronic Trading, Algorithmic Trading, Transaction Cost Analysis (TCA), Equities, FX, Options, Futures, Advanced Analytics, Fixed Income, Execution Management Systems (EMS), Order Management Systems (OMS), Market Access, and AlgoWheel",
"Fullerton India Credit Company Limited is registered as an NBFC - Investment and Credit Company (NBFC-ICC) with the Reserve Bank of India, and a member of SMBC Group. FICC started its India operations in 2007, and is today a leading NBFC with a pan India presence.

Working together with over 12,500 employees, we reach our market by connecting with over 2.3 million customers, be it in cities, towns or villages, right at their doorstep. We penetrate deep inside the market through more than 633 branches, covering 600 towns and more than 60,000 villages.

Our primary services constitute financing of SME for working capital and growth, personal loans, loans for commercial vehicles and two-wheelers, home improvement loans, loans against property, working capital loans for urban self-employed, loans for rural livelihood advancement, rural housing finance and financing of various rural micro enterprises.

Sumitomo Mitsui Financial Group (SMFG) holds a 74.9% stake in Fullerton India Credit Company Limited and is the holding company of one of the largest global banking and financial service groups, offering a diverse range of financial services including commercial banking, leasing, securities and consumer finance with a heritage exceeding 400 years.

Fullerton Financial Holdings (FFH) holds a 25.1% stake in Fullerton India Credit Company Ltd and is an independently operated strategic and operating investor in financial and related services in emerging markets. Fullerton India Credit Company Limited is a wholly owned subsidiary of Fullerton Financial Holdings Pte. Ltd., which in turn is a wholly owned subsidiary of Temasek Holdings Pte. Ltd., Singapore. Fullerton Financial Holdings invests in financial institutions in emerging markets with its prime focus on Business and Consumer banking.",http://www.fullertonindia.com,Financial Services,"10,001+ employees 7,178 on LinkedIn
            
 



    Includes members with current employer listed as Fullerton India Credit Company Ltd., including part-time roles.","Mumbai, Maharashtra",2007,"Urban Business - PL, SME, LAP, Business Loans, Commercial Vehicle Loans and Rural Business - Livelihood Advancement Loans, Growing Enterprise Loans, Two Wheeler Loans, Commercial Vehicle Loans",
"About us

Indiabulls Housing Finance Ltd. (IBHFL) is India’s third largest housing finance company, regulated by the National Housing Bank (NHB). IBHFL is rated ‘AA’ by leading rating agencies including CRISIL and ICRA. The company has a balance sheet size of ₹ 0.96 trillion as on 30th September, 2020. The company has serviced more than 1 million happy customers and cumulatively disbursed loans of over ₹ 2.77 trillion. It is has a strong nationwide presence and continues to reach out further with eHome Loans – India’s first completely online home loan fulfilment platform.

Our Values

We believe in offering the best of services to our customers making their loan process easy and the experience memorable. We strive to provide complete transparency and integrity to our customers.

Our Goals

Our goal is to help people realize their dream of owning a home of their own and contribute towards a well-organized housing finance sector.

Our Strengths

·                  Online application to disbursal with eHome Loans

·                  10,000+ pre-approved projects

·                  Zero pre-payment

Our Network

·         Over 220 well-appointed and accessible branches in 110 towns and cities across India

·         2 representative offices in Dubai and London offering Home Loan products to Non-Resident Indians and Persons of Indian Origin.

We have fulfilled the dreams and aspirations of over 1 million happy households with our customer-centric finance solutions.",http://www.indiabullshomeloans.com/,Financial Services,"5,001-10,000 employees 6,857 on LinkedIn
            
 



    Includes members with current employer listed as Indiabulls Housing Finance Ltd, including part-time roles.","Mumbai, Maharashtra",2000,"2nd Largest Private Housing Finance Company, 'AAA'​ Rated, 10,000+ Pre-approved Projects, Fixed and Floating Rate Options, Loan Sanction in 48 hours*, Online Account Access, Doorstep Service, and No Hidden Charges","18005727777
            

              Phone number is 18005727777"
"Yubi is the world's first possibility platform powering the discovery, investment, fulfilment of credit.
We are re-defining global debt markets by freeing the flow of finance between borrowers, lenders, and investors. 
Yubi stands for ubiquitous, being present wherever our customers need us. From being a disruptor in India’s debt market to marching towards global corporate markets, we will unlock greatness together.

We are on a mission to deepen and power the $120 Trillion global enterprise debt market which would unlock a GDP multiplier and thus, create massive economic value. 

The Yubi product suite is leading the empowerment of small, medium, and large enterprises on one side, and growing a healthy loan book for the larger Banking ecosystem on the other. As a debt platform for enterprises, lenders and investors, we offer the most comprehensive bouquet of debt products. Our suite of product offerings ensures that as a participant in the debt market - you find just what you are looking for! 

We believe that access to prudent finance is the right of all global citizens and that is what drives all of us here at Yubi. The future of finance starts here, propelled by technology, transparency, and mutual trust.

Join us on this journey to #MakeGreatHappen.",,Financial Services,"501-1,000 employees 682 on LinkedIn
            
 



    Includes members with current employer listed as Yubi, including part-time roles.","Chennai, Tamil Nadu",2020,"Financial Markets, Debt Raise, Supply Chain Finance, Marketplace, Securitization, Co-Lending, Business Loans, Bonds, Fixed Income Instruments, and Capital",
"Home Credit India Finance Pvt. Ltd. is a local arm of the international consumer finance provider with operations spanning over Europe and Asia and committed to drive financial inclusion in India. The company is committed to drive credit penetration and financial inclusion by offering wide financial solutions that are simple, transparent, and accessible to all. Home Credit India has an employee base of over 4000 and has been consistently expanding operations since its entry in 2012, with its operations spread over 625 cities across India. The company has a strong network of around 53,000 points-of-sale (PoS) and is growing with a customer base of over 14 million customers, driven by Pan-India expansion across major markets, a range of diversified and innovative products backed by superior customer experience.

For more information, visit www.homecredit.co.in",http://www.homecredit.co.in,Financial Services,"1,001-5,000 employees 7,829 on LinkedIn
            
 



    Includes members with current employer listed as Home Credit India, including part-time roles.","Gurgaon, Haryana",2012,Digital Loans,
"IIFL Home Loan is a leading, digitally-enabled fintech service provider unlocking affordable, sustainable housing and enabling all-inclusive growth.

Set up to further the reach of home loans and secured business loans to the lower-income and economically weaker sections, we offer minimal documentation and home loan approvals within 25 minutes*. We are committed to sustainability and have successfully made our loan processes 100% digital and paperless.

We contribute to the Government's #HousingForAll mission by providing home loans and facilitating Credit Linked Subsidy Scheme under Pradhan Mantri Awas Yojana for the economically weaker sections in India. 

Continuing to create a paradigm shift in housing, we launched Kutumb - a platform to educate, assist, and propagate sustainable, affordable housing to every stakeholder. We have conducted multiple chapters across India and recently launched the first-ever handbook, Building Green - IIFL Home Loan’s Guide to Sustainable Affordable Housing.

To know more, visit: https://bit.ly/3jNw1Lr",http://www.iiflhomeloans.com,Financial Services,"1,001-5,000 employees 1,206 on LinkedIn
            
 



    Includes members with current employer listed as IIFL Home Loans, including part-time roles.","Gurgaon, Haryana",2009,"Home Loans, Loan Against Property, Swaraj Loan, Pradhaan Mantri Awaas Yojna, Sammaan Loan Against Property, and Jhatpat Home Loans",
"ICICI Prudential Asset Management Company is one of India's premiere fund houses focused on bridging the gap between savings & investments. We strive to create long term wealth and value for our investors through our range of simple and relevant investment solutions.

Founded in 1993 as ICICI Asset Management Company, the joint venture between ICICI Bank, a well-known, trusted name in financial services in India and Prudential Plc, one of UK’s largest players in the financial services sector, established ICICI Prudential Asset Management Company in the year 1998.

Over the last two decades, we have focused on transforming the financial landscape in the country through product innovation and consistent, sustained risk adjusted performance. 

Today, we are an ideal mix of investment expertise, resource bandwidth & process orientation.",http://www.icicipruamc.com/,Financial Services,"501-1,000 employees 2,856 on LinkedIn
            
 



    Includes members with current employer listed as ICICI Prudential AMC Ltd, including part-time roles.",,,"Mutual Funds, Portfolio Management Services, International Advisory Services, and Real Estate Investements",
"INDmoney is a Super Finance App that helps you to save, plan and invest across your family members - All in one App. since its launch in 2019, the application has quickly grown to 4Mn users backed by innovative features such as US Stocks investing, Neo Banking & Deposits, Financial life tracking and Robo Advisory. 

Our mission is to ""help people to save and earn more"". Our vision is to be the one stop shop for your finances - ""Your Family's Super Bank"". 

INDmoney is founded by Ashish Kashyap, a technology entrepreneur who previously founded the travel tech platform : ibibo Group (Goibibo, redBus) and payments FinTech, Payu India. We are a Series-D start-up backed by reputed foreign institutional investors comprising Tiger Global, Steadview Capital, Dragoneer. Sixteenth Street Capital, who have invested a total of $143Mn in the Super Finance App.",https://www.indmoney.com,Financial Services,"201-500 employees 340 on LinkedIn
            
 



    Includes members with current employer listed as INDmoney, including part-time roles.","Gurgaon, Haryana",2019,,
"Aadhar Housing Finance Ltd is one of the largest affordable housing finance companies in India servicing the home financing needs of the low income sections of the society. Aadhar endeavours to empower underserved millions to own their first homes. Established in 2010, we have served more than 1,88,000 customers through 326 locations across the nation.
Aadhar is one of the few players in the industry with a pan-India presence. Today, we provide financing solutions to all segments of customers whose monthly income is between INR 5000 (USD 76) to INR 50000 (USD 765) and above.
 
We pride ourselves on the empathy, trust and transparency-led customer service we provide and see it as our key competitive advantage. Our customer-centric approach has helped us build a loan book of about a billion rupees. Today, our branches across 20 States & Union Territories help us reach more than 90% of the country's population and provide credit solutions that make home ownership accessible to everyone.
 
With two-thirds of India's 1.2 billion population residing in the hinterland, we are committed to serve home buyers from the low income group. After all, everyone deserves the security of a home – from barbers, tailors, carpenters, plumbers, kirana merchants to police, defence and railway personnel, SMBs and the self-employed. By empowering this segment with the security of a home, we endeavour to create a truly inclusive India.
 
At Aadhar, we facilitate financial inclusion by enabling wider access to housing finance, ethically and responsibly. Our financing process is simple, transparent and speedy. Committed to the highest standards of ethical behaviour and professionalism, we are empowering Bharat to gain enhanced financial capabilities.",http://www.aadharhousing.com,Financial Services,"1,001-5,000 employees 2,684 on LinkedIn
            
 



    Includes members with current employer listed as Aadhar Housing Finance Ltd., including part-time roles.","Mumbai, Maharashtra",2010,"Home Loan, Home Inprovement Loan, Home Extension Loan, Mortgage Loan, Loan Against Property, and Plot Loan","1800 3004 2020
            

              Phone number is 1800 3004 2020"
