Overview,Website,Phone,Industry,Company size,Headquarters,Founded,Specialties
"ART Housing Finance (India) Limited is a professionally managed housing finance company (HFC), registered with the National Housing Bank (NHB). The Company provides long-term housing loans to customers belonging to the Middle and Low-Income Groups in peripherals of urban India, semi-urban and rural India.

The company offers a suite of innovative and flexible Home Loan products to enable purchase, construction, extension, and repair of affordable dwelling units. It also provides Loan Against Residential Property, Commercial property, and Plots with a clear focus on thin file clients and underserved sections of the society.

With financially sound promoters, visionary leadership and a highly experienced team of home loan professionals, ART Housing Finance provide its customers with home loans to fulfill their dreams of owning an affordable dwelling unit. The Company strongly holds that the dream of homeownership should be all inclusive & this belief is aptly reflected in the company’s tag line of ‘Own your dreams.’

As an innovative and flexible home loan provider for the less served segment of the society, We uphold the best business ethos with a strong on-ground implementation capacity. Complete transparency and fairness in all its processes lie at the crux of our values. Use of contemporary technology and digitisation to improve on customer delivery is at the core of our execution. 

49, Udyog Vihar,
(Landmark near Airtel Building), NH - 8,
Phase IV,
Gurugram – 122015,
Tollfree no.- 0124-5060981",https://arthfc.com/product-home+loans.html,"0124-5060981
            

              Phone number is 0124-5060981",Financial Services,"201-500 employees 302 on LinkedIn
            
 



    Includes members with current employer listed as ART Housing Finance (India) Ltd, including part-time roles.","GURUGRAM, HARYANA",2013,"Home Loans, Loan Against Property, Top-up Loan, Affordable Housing Loans, Balance Transfer, and Construction Finance"
"Overview

One of the largest integrated omni-channel payment solutions providers in India in terms of providing digital and cash-based solutions to banks and corporate clients (Source: Ken Payments Report).  

We provide customised products and services comprising ATM and Cash Recycler Machines (CRM) outsourcing, cash management and digital payment solutions including merchant solutions, transaction processing services and mobile wallets.

Our key milestones, as on June 30, 2022:
470,000+ machines or customer touch points | 241,060+ PoS terminals | 73,179 ATMs & CRMs managed/serviced | 2200 cities & towns | 34 offices 

We operate our business in the following segments: Payment Solutions, Banking Automation Solutions; and Other Automation Solutions (for customers in the retail, petroleum and colour sectors).

As of June 30, 2022, including our subsidiaries, we had 11,000+ employees (including sub-contracted employees).

For job opportunity - mail to careers@agsindia.com",http://www.agsindia.com,,Financial Services,"10,001+ employees 2,950 on LinkedIn
            
 



    Includes members with current employer listed as AGS Transact Technologies Ltd, including part-time roles.","Mumbai, Maharashtra",2002,"Payment Solutions (ATM outsourcing & managed services, cash management, intelligent cash deposit machines (“iCDs”), transaction switching, digital payment solutions, merchant solutions, automatic vehicle fuelling (or Fastlane), toll & transit solutions and agency banking), Banking Automation Solutions (supply & installation of ATMs and other automated banking products and the provision of services, including maintenance, software and hardware upgrades and spare parts), and Other Automation Solutions (for customers in the retail, petroleum and colour sectors)"
"Our vision is to be a responsible player in the Indian mutual fund space, always striving to offer best in class products across investor life-cycle. We strive hard to deliver consistent performance over the benchmark across all our products, thereby creating customer satisfaction. Our 21 years of existence offering a broad range of investment products across asset classes with varying risk parameters that cater to needs of various customer segments, have enabled us to garner trust of over approximately 75 lakh investor folios in various schemes.",https://www.kotakmf.com/,,Financial Services,"201-500 employees 481 on LinkedIn
            
 



    Includes members with current employer listed as Kotak Mutual Fund, including part-time roles.","Mumbai, Maharashtra",1998,
"IndoStar Capital Finance Limited is an non-banking finance company ""NBFC""​ registered with the Reserve Bank of India as a systemically important non-deposit taking company. We are a professionally managed and institutionally owned organization which is primarily engaged in providing structured term financing solutions to corporates and loans to small and medium enterprise ""SME""​ borrowers in India. We provide vehicle finance for purchase of used
or new commercial vehicles, passenger vehicles and two-wheelers. We also offer housing finance products through our wholly-owned subsidiary IndoStar Home Finance Private Limited.",http://www.indostarcapital.com,"022 4315 7000
            

              Phone number is 022 4315 7000",Financial Services,"1,001-5,000 employees 989 on LinkedIn
            
 



    Includes members with current employer listed as IndoStar Capital Finance Ltd., including part-time roles.","Mumbai, Maharashtra",2011,"NBFC, Home Finance, Vehicle Finance, SME Finance, and Corporate Lending"
"RNFI Services Pvt. Ltd. is ultimate platform for distributors and retailers who provide online payment services. We assure our clients and customers safe, secure and convenient mode of transactions.

Indeed, we are unique digital platform that caters attractive and instant (real time) rewards as well as a commission to our B2B partners such as distributors, retailers, clients etc., through our own developed safe and secure interface.

To meet the futuristic digital and online financial solutions, RNFI believes to facilitate each and every people of the country one of most trusted, reliable and quickest online payment solution gateways.

We believe to work with all premier financial institutions and organizations who are leading the economy of country whether they are governmental or non-governmental bodies 

through our safe, secure, reliable and quickest payment gateway we believe to connect Semi-urban & Rural India to the mainstream of economic development.

RNFI believes to train, assist and work with DMR distribution networks as per mandates given by the banks.",http://www.rnfiservices.com,"9852293522
            

              Phone number is 9852293522",Financial Services,"501-1,000 employees 412 on LinkedIn
            
 



    Includes members with current employer listed as RNFI SERVICES PRIVATE LIMITED, including part-time roles.","Delhi, Delhi",2015,
"Re-imagine finance:
We at Finvolv believe that the financial industry is transitioning from being an isolated entity to becoming a universal feature of every organisation irrespective of the domain of operation. This democratisation mandates systems that enable major reductions in time to value & improve decision making towards designing, building, launching, embedding, growing and managing financial products.  Finvolv was created to provide such a low-code, domain-rich embedded-finance platform to financial services firms.",https://finvolv.com/,,Financial Services,"201-500 employees 240 on LinkedIn
            
 



    Includes members with current employer listed as Finvolv, including part-time roles.","Bangalore, Karnataka",2006,"Digital Lending, Loan Origination System, Data-driven Lending, Loan Analytics System, Credit and Risk Assessment, Collection management, Collateral Management, Loan Management System, engineering services, Digital Lending Platforms, Digital banking Software, Digital banking platform, Credit Risk Assessment , and Loan Servicing"
"Welcome to Hitachi Payment Services. We are a leading payment solutions provider that empowers financial institutions and merchant / e-commerce aggregators with a comprehensive array of technology-led payment solutions. Our cash and digital payment solutions enable high level of customer satisfaction and have redefined the way payments are fulfilled today. With extensive industry know-how and robust payments infrastructure, we offer customisable solutions with speed to market. 

Our offerings under cash platform include ATM Services, Cash Recycling Machines, ATM Software Platforms and White Label ATM - Hitachi Money Spot ATM. Offerings under digital platform include POS Solutions, Internet Payment Gateway Solutions, Toll & Transit Solutions, Digital Payment Platform (Bharat QR, UPI), Risk Management & Analytics, Reconciliation & Settlement Services, Merchant Services and Card Issuance Solutions 

As a 100% subsidiary of Hitachi Ltd., we leverage on Hitachi’s Social Innovation business philosophy, technology expertise and customer-centric approach to provide you a world-class platform today and for the future.",http://www.hitachi-payments.com,,Financial Services,"1,001-5,000 employees 1,653 on LinkedIn
            
 



    Includes members with current employer listed as Hitachi Payment Services Pvt. Ltd., including part-time roles.",,2008,"ATM Services, Cash Recycling Machines, ATM Software Platforms, White Label ATMs, POS Solutions, Internet Payment Gateway Solutions, Toll & Transit Solutions, Risk Management & Analytics, Reconciliation & Settlement Services, Merchant Services, Card Issuance Solutions, and Digital Payment Platform (Bharat QR, UPI)"
"MBG Corporate Services is a strategic & global corporate consultancy covering a multitude of Corporate Advisory Services. 

For more than 19 years, we have been a reliable partner for successful international businesses across  Asia, Europe and Middle-East!  Our 18 offices are spread across Singapore, UAE, China, India, Japan, Germany, Oman and Qatar. 

Our clientele consists of more than 1000+ Japanese, Indian, German, US, Middle East and other European Enterprises and Conglomerates across diversified sectors. 

Through our in-house expert teams of experienced Chartered Accountants, Lawyers and Consultants we provide professional guidance through a multitude of important issues at any stage of the business life cycle to assure and drive our clients'​ success in India.",http://www.mbgcorp.com/in,"8860190008
            

              Phone number is 8860190008",Financial Services,"201-500 employees 165 on LinkedIn
            
 



    Includes members with current employer listed as MBG Corporate Services India, including part-time roles.","Gurgaon, Haryana",2002,"Audit, Consulting, Risk Advisory, Legal Advisory, Accounting, Taxation, Restructuring, M&A, Digital Transformation, Due Diligence, Transfer Pricing, Corporate Advisory, Transaction Advisory, Compliance Services, Regulatory Advisory, Financial Reporting, Human Capital Consulting, Investment Advisory, Market Entry, Feasibility Study, and Business setup"
"GreenPoint specializes in providing value-added professional services to a broad base of F1000 and other companies worldwide. For over a decade, GreenPoint has established a prominent service and delivery platform with an impeccable record for quality and timeliness. Across the diverse industries it serves, GreenPoint provides business services through the use of technology and superior talent  to optimize cost, while reliably enhancing service delivery.  

We offer business solutions to the following industries:

- Legal Writing, Research, and Drafting Services
- Legal + Medical Transcription Services
- Official + Business Translation Services
- Content + Publishing Services
- Contact Center + Data Solutions
- Education Services  (Tomorrow's Genius) 
- Software + Data Migration Services

GreenPoint Global (India & Israel processing centers) are certified compliant with ISO/IEC 27001:2005 as well as  ISO 9001:2008 with standards published by the International Organization for Standardization (ISO) and the International Electrotechnical Commission (IEC).

GreenPoint professionals work in cross-functional teams to serve clients in a comprehensive manner that addresses short- and long-term business goals.  Headquartered in New York City with offices in Philadelphia, San Francisco, Tel Aviv, and Mumbai, GreenPoint employs more than 500 people worldwide.",http://www.greenpointglobal.com,,Financial Services,"501-1,000 employees 247 on LinkedIn
            
 



    Includes members with current employer listed as GreenPoint Global, including part-time roles.","Rye, New York",2001,Financial Services and Legal Services
"Our mission is to empower our fellow citizens build a more predictable and secure future by effectively monetising their assets.

indiagold has built a product & technology platform that enables regulated entities to launch or grow their asset backed products across geographies; without investing in operations, technology, people or taking any valuation, storage or transit risks.

Our use of deep-tech is changing how asset backed loans have been done traditionally. Some examples of our innovation are - lending against digital gold, 100% paperless/digital loan onboarding process, computer vision to test gold purity as opposed to manual testing, auto- scheduling of feet-on-street, customer self-onboarding, gold locker model to expand TAM & launch zero-touch gold loans, zero network business app & many more.

We are rapidly growing team passionate about solving massive challenges around financial well-being.

We are a rapidly growing organisation with empowered opportunities across Sales, Business Development, Partnerships, Sales Operations, Credit, Pricing, Customer Service, Business Product, Design, Product, Engineering, People & Finance across several cities. 

We give our employees the tools and benefits they need to do their best work, in the way that’s best for them. We have a tax friendly compensation structure, collaborative culture, intraprenuership opportunities, a technology hub in UAE, comprehensive medical insurance policy and wealth creation opportunity through ESOPs. 

Moreover, indiagold has achieved a rare recognition from DIPP, Govt. of India, where ESOP holding employees won't have to pay taxes at the time of exercising. 

We value the right aptitude & attitude than past experience in a related role, so feel free to reach out if you believe we can be good for each other.",https://indiagold.co,"1800123999888
            

              Phone number is 1800123999888",Financial Services,"201-500 employees 190 on LinkedIn
            
 



    Includes members with current employer listed as indiagold, including part-time roles.","Gurugram, Haryana",2020,
"MAS as an organisation commenced its journey in 1988. We are a specialized financial service provider, registered with RBI as an NBFC since 1995, and listed on NSE & BSE in 2017.

We offer financial services for Two Wheeler Loans, Business Loans, MEL, Personal Loans, Commercial Vehicle Loan, Working Capital Loans – Auto Loans, Agri Loans, Tractor Loans, Consumer Durable,  SME (Machinery & Industrial Shed) Loans, Loan against Property, Home Loans etc. to satisfy the varied needs of our clients.

The focus remains on the vast lower income and middle income groups of the society, spread across urban, semi urban and rural areas, and including formal and informal sector. We are very proud to be associated with this class of customers since 2 decades. Our business model, vision, vast experience and distribution network places us uniquely in the industry. 

We have our presence across Gujarat, Maharashtra, Rajasthan, Madhya Pradesh, Tamil Nadu, Karnataka & Delhi with 110+ branches covering 4,000+ locations. We have created the expertise in the distribution of credit and a base of more than 15,00,000 customers.",http://www.mas.co.in,"+91 79 41106500
            

              Phone number is +91 79 41106500",Financial Services,"1,001-5,000 employees 1,031 on LinkedIn
            
 



    Includes members with current employer listed as MAS Financial Services Limited, including part-time roles.","Ahmedabad, Gujarat",1995,"Commercial Vehicle Loans, Tractor Loans, Working capital Loans, Housing Loan, Project Finance, SME Funding, 2 Wheeler Loans, and Salaried Personal Loans"
"Brickwork Ratings is India’s home grown credit rating agency built with superior analytical prowess from industry’s most experienced credit analysts, bankers and regulators. 

Established in 2007, Brickwork Ratings aims to provide reliable credit ratings by creating new standards for assessing risk and by offering accurate and transparent ratings. Brickwork Ratings provides investors and lenders timely and in-depth research across the Structured Finance, Public Finance, Financial Guaranty, Financial Institutions, Project Finance and Corporate sectors. 

Brickwork Ratings has employed over 350 credit analysts and credit market professionals across 9 offices in India. Our experienced analysts have published over 12,000 ratings across asset classes. 

Brickwork Ratings is committed to provide the investment community with the products and services needed to make informed investment decisions. Brickwork Ratings is a registered credit rating agency by Securities and Exchange Board of India (SEBI) and a recognised external credit assessment agency (ECAI) by Reserve Bank of India (RBI) to carry out credit ratings in India. 

Brickwork Ratings is promoted by Canara Bank, India’s leading public sector bank. More on Canara Bank available at www.canarabank.co.in",http://www.brickworkratings.com,,Financial Services,"201-500 employees 381 on LinkedIn
            
 



    Includes members with current employer listed as Brickwork Ratings, including part-time roles.","Bangalore, Karnataka",2007,"Credit Ratings, Credit Research, and Macroeconomic Research"
"U GRO Capital limited is a BSE listed, small business lending fintech platform. The Company is focused on addressing capital needs of small businesses operating in select eight sectors by providing customized loan solutions. 

U GRO Capital’s mission is ‘Solve the Unsolved’ – Small Business Credit Need. U GRO Capital believes that the problem of small businesses can be solved by building deep expertise around core sectors of SMEs in India coupled with a data centric, technology-enabled approach. 

The Company has raised ~INR 920 crore of capital from a diversified set of private equity funds like institutional investors and well-known family offices. 

U GRO Capital has shortlisted the 8 sectors basis an 18-month process involving extensive study of macro and micro economic parameters carried out in conjunction with market experts like CRISIL. The eight sectors shortlisted are Healthcare, Education, Chemicals, Food Processing / FMCG, Hospitality, Electrical Equipment and Components, Auto Components, Light Engineering. The Company additionally lends to microenterprises, which behave as a monolith and act a pseudo ninth sector. 

The Company strives to build a strong SME financing platform based on sectoral understanding supplemented by a fully integrated technology and analytics platform.",http://ugrocapital.com,"+91-22-48918686
            

              Phone number is +91-22-48918686",Financial Services,"201-500 employees 515 on LinkedIn
            
 



    Includes members with current employer listed as U GRO Capital, including part-time roles.","Mumbai, Maharashtra",1993,
"VFS Capital, formerly known as Village Financial Services, is the 1st microfinance company in Eastern Region with NBFC status registered by RBI under Section 45 IA of the RBI Act, 1934. VFS Capital, which has its head office in Kolkata, West Bengal, started microfinance operations in the financial year 2005-2006. Since then, VFS has grown and has touched the lives of thousands of poor women by providing them credit for income-generating activities and helping them to become economically self-sufficient. VFS has helped empower women and enabled them to give their families a better quality of life and improve their status in society. 
VFS Capital is the first microfinance institution in eastern India to get the status of an NBFC, and also the first MFI in India with ISO certification.",https://www.vfscapital.in/,,Financial Services,"1,001-5,000 employees 224 on LinkedIn
            
 



    Includes members with current employer listed as VFS Capital, including part-time roles.","Kolkata, West Bengal",1996,"microfinance, rural development, women empowerment, SME business loan, social entrepreneurship, housing loan, and micro credit"
"Enabling Global Payments, Transactions and Communication Through Innovative Security, Payments, Networking, Telecom Solutions

www.newnet.com

NewNet offers Digital Payment Infrastructure with Intelligent Routing & Switching Solutions, and Cloud Transformation for Acquirers, Processors, Banks, PSPs, Payment Gateways, PayFacs, MNOs, NSPs, FinTechs, CSPs etc., handling integrated Payment Transaction Routing, Secure Network Access, Real Time Payments, and Payment Data Security by smart utilization of flexible APIs, accepting omnichannel payments from Mobile, Web, In-Store, SmartPOS, mPOS, Ecommerce, Mcommerce & ATM transactions, fully compliant to security standards, along with Tokenization & P2PE. 

Key Payment Solutions include Cloud Payment Acquiring Application, Payment Routing/Switching/Transport System, Digital Payment NAC (Network Access Controller / Network Access Concentrator, P2PE/Tokenization Solution, Security Application for Smart Mobiles as POS, Concurrent handling for Fiat/Crypto payments & CBDC.

With an expansive customer base in over 90 countries, NewNet is dedicated to providing enterprises with innovative secure payment infrastructure solutions to help build, grow and optimize global payment transactions.

NewNet’s superior, field proven, security standards compliant feature rich Payment NAC - Network Access Concentrator / Network Access Controller solution offers seamless migration and clear roadmap for payment ecosystem customers to effectively address legacy Payment NAC upgrade challenges.   

NewNet's extensive range of solutions reach millions of end users daily and are available in a variety of applications including on-site, cloud and managed solutions.
 
For more information about NewNet and its businesses, visit www.newnet.com. Keep up with NewNet News by following NewNet’s Twitter feed at www.twitter.com/NNCT

https://www.youtube.com/watch?v=eX0x0_9vMgU",http://www.newnet.com,,Financial Services,"501-1,000 employees 98 on LinkedIn
            
 



    Includes members with current employer listed as NewNet Communication Technologies, including part-time roles.","Lombard, IL",1989,"Telecommunications Solutions, Transaction Security Solutions, WiMAX, Telecom Applications Deployment, Professional Services, Payments, Cloud Computing, Mcommerce, Ecommerce, IoT Payments, GigEconomy Payments, Mobile Payments, Omnichannel Payments, SIP Payments, and Cloud Payments"
"Apex India is part of the Apex Group Ltd.

Apex Group Ltd., established in Bermuda in 2003, is a global financial services provider. With 85 offices in 42 countries worldwide and 10,000 employees upon the close of announced acquisitions, Apex delivers an extensive range of services to asset managers, capital markets, private clients and family offices. The Group has continually improved and evolved its capabilities to offer a single-source solution through establishing the broadest range of services in the industry; including fund services, digital onboarding and bank accounts, depositary, custody and super ManCo services, business services including HR and Payroll and a pioneering ESG Ratings and Advisory service for private companies. 

Apex Group includes FundRock, LRI and European Depositary Bank.",https://www.apexgroup.com/,,Financial Services,"1,001-5,000 employees 475 on LinkedIn
            
 



    Includes members with current employer listed as Apex Group Ltd (India Branch), including part-time roles.","Pune, Maharashtra",,
"BBVA is a customer-centric global financial services group founded in 1857. The Group has a strong leadership position in the Spanish market, is the largest financial institution in Mexico, it has leading franchises in South America. It is also the leading shareholder in Turkey’s Garanti BBVA and has an important investment, transactional and capital markets banking business in the U.S. Its purpose is to bring the age of opportunities to everyone, based on our customers’ real needs: provide the best solutions, helping them make the best financial decisions, through an easy and convenient experience. The institution rests in solid values: Customer comes first, we think big and we are one team. Its responsible banking model aspires to achieve a more inclusive and sustainable society.



BBVA Corporate & Investment Banking (BBVA CIB) brings together the activities of investment banking, markets, financing and transactional services for institutional investors and corporate clients. It has a strong global presence, providing services in 24 countries through an extensive team of experts, including investment banking specialists and advisors in specific industries and sectors. 



BBVA CIB offers a wide range of value-added products and financial solutions, for the simplest needs and for the most complex ones. Its mission is to help clients to carry out their projects and achieve their business, transformation and sustainability objectives, whether they are local or international.",http://www.bbvacib.com/,,Financial Services,"10,001+ employees","Madrid, Comunidad de Madrid",,
"CreditAccess Grameen Limited is a leading Indian microfinance institution headquartered in Bengaluru, focused on providing micro-loans to women customers predominantly in rural areas across India. The Company, on a consolidated basis, is now operating in 332 districts in 14 states (Karnataka, Maharashtra, Tamil Nadu, Chhattisgarh, Madhya Pradesh, Odisha, Kerala, Goa, Gujarat, Rajasthan, Uttar Pradesh, Bihar, Jharkhand, and West Bengal) and one union territory (Puducherry) in India through 1,681 branches. The Company’s Promoter is CreditAccess India N.V., a multinational company specializing in micro and small enterprise financing. It is backed by institutional investors and has a micro-lending experience in India of over more than a decade.",https://www.creditaccessgrameen.in,"080 22637300
            

              Phone number is 080 22637300",Financial Services,"10,001+ employees 892 on LinkedIn
            
 



    Includes members with current employer listed as CreditAccess Grameen Limited, including part-time roles.","Bengaluru, Karnataka",1999,Financial Services and Microfinance
"Oxigen’s focus is to grow its footprint, to serve the last mile by providing Aadhaar enabled branchless banking services, cashless micro payments services and remittances, in a ‘real time’ environment, is India's Largest Payments Solutions Provider.  

Oxigen’s proprietary technology is used to provide Payment Processing Services, through its flagship product, Oxigen Micro ATM. Oxigen provides branchless banking services integrated with Aadhaar to facilitate AEPS (Cash In/Cash Out), Bank Transfers, eKYC, and merchant payment services with NFC (Tap Pay), Card Payments (Rupay, Visa, Master Card), Bharat QR, UPI, Aadhaar Pay, Cash @ PoS using Cards.

 Traditional services include Recharges for Telecom, Internet data and DTH Prepaid, Postpaid Recharges, Money Transfer, Travel (IRCTC Railways/Airlines/Bus) Tickets, Movie Tickets, Utility Bill Payments, gift cards & value-added services, through its network of 200,000 retailers who, in turn, provide these services to end customers. 
Oxigen is also a National Business Correspondent to SBI and RBL bank with over 20,000 BC agents

Oxigen also has a Mobile Money Wallet, branded as Oxigen Wallet (“OW”) and is a Prepaid Payment Instruments (“PPI”) license holder issued by RBI. With RBL Bank, Oxigen wallet offers a card for Corporate reimbursements, and provides Loyalty solutions on mobile, to companies like FuturePay. It has 3 million users now.

Today, Oxigen boasts of a 150-million customer base and a retail footprint of over 2,00,000 outlets. Till date, Oxigen has processed over 6 billion transactions, with an existing volume of 600 million transactions per annum. Oxigen services are device agnostic and available through a point of sale device “MicroATM”, website and mobile App.",http://www.myoxigen.com,,Financial Services,"501-1,000 employees 666 on LinkedIn
            
 



    Includes members with current employer listed as Oxigen, including part-time roles.","Gurgaon, Haryana",2004,"Payment Gateway, Payment collection solutions, Mobile recharge, DTH Recharge, Broadband Recharge, Travel and ticketing-Air, Rail, Bus, Hotel, E-commerce, Bill payments, Merchant payment collection, Mobile Wallet, Instant Money Transfer, Micro ATM, Oxigen Micro ATM, Financial Inclusion, and Digital India"
"RenewBuy was started by Indraneel Chatterjee and Balachander Sekhar in 2015. Our business works on a B2B2C model which is backed by its proprietary technology platform (App & Web platform) that enables our trained POSP (point of sale person)/ advisor to offer insurance products to its customers. RenewBuy works on a digital agent model, which provides transparency and offers instant insurance for lower prices from multiple options. With a strong network of over 60,000 POSP’s/advisors spread across 650+ cities, With a vision to solve the under penetration in the insurance sector.

RenewBuy is branched across 50+ offices with a total employee strength of 1800+ and works with over 35+ insurers across motor, health, life and travel insurance categories.

Our Core idea, vision, and mission

Vision: Insurance simplified and made accessible to all

Mission: Deliver the widest choice of insurance on a reliable platform through a Point of sale person for every 10,000 Indians

Values: Execution excellence - We will deliver high quality & innovative thinking to provide reliable solutions

Partner Obsession - We would keep partner in the centre of whatever we do

People Orientation - We will continue to develop a winning team with promising team players",https://www.renewbuy.com,"18004197852
            

              Phone number is 18004197852",Financial Services,"1,001-5,000 employees 995 on LinkedIn
            
 



    Includes members with current employer listed as RenewBuy, including part-time roles.","Gurgaon, Haryana",2015,"Insurance, Two wheeler Insurance, Car Insurance, Motor Insurance, Health Insurance, Life Insurance, Online Insurance, Insurance POSP Advisors, Travel Insurance, Insurance Advisor, and Insurance POSP"
"Escalon’s one stop shop approach gives you a single touch point for everything you need to keep your company safe. 

No more worrying about compliance in HR or taxes; no more managing multiple vendors for insurance, finance, and accounting. 

You can even get part-time CFO services for help with raising the next round of financing. 

We cover all Essential Business Services so you get a single, well-coordinated source taking care of all your back office needs",https://escalon.services/,"0172 464 3839
            

              Phone number is 0172 464 3839",Financial Services,"201-500 employees 327 on LinkedIn
            
 



    Includes members with current employer listed as Escalon Business Services, India, including part-time roles.","Mohali, Chandigarh",2006,
"Kristal.AI is an award-winning digital private wealth platform, licensed and operational in Singapore, Hong Kong, India, and UAE

We unlock sophisticated investment opportunities for the underserved mass affluent investors and provide a genetic advisory algorithm that helps first-time investors pick the most suitable portfolios (branded as Kristals) according to their financial goals and risk profiles.

Our diverse team comprises 230+ people, backed by a strong and supportive management team with past work experience in JP Morgan, Citibank, BNP Paribas, Yahoo, Cognizant, and IBM Security. We are also backed by a leading VC in India – Chiratae Ventures (formerly IDG Ventures).

For more information, visit https://kristal.ai/.",https://www.kristal.ai,,Investment Management,"201-500 employees 225 on LinkedIn
            
 



    Includes members with current employer listed as Kristal.AI, including part-time roles.","Singapore, Singapore",2016,"Fintech, Investment Management, Wealth Management, Artificial Intelligence, Robo Advisory, Asset Management, Digital Wealth Management, Personal Finance, Investments, Global Investments, Your Personal Private Bank, Financial Technology, Fintech Community, and Algorithmic Investments"
"Max Group:

The Max Group is a leading Indian multi-business conglomerate with interests in the Life Insurance, Healthcare, Real Estate and Senior Living industries. In FY2019, the Group recorded consolidated revenue of Rs. 24,134 Cr. It currently has a total customer base of 9 million, around 340 offices spread across India, an agency strength of ~46,000 and employee strength of more than 27,000.


The Max Group comprises three holding companies, namely Max Financial Services, Max India and Max Ventures & Industries. The Group’s investor base includes marquee global financial institutions such as New York Life, KKR, IFC Washington, Vanguard, Ward Ferry, Briarwood Capital, Ellipsis Partners, Nomura, Aberdeen, First State Investments, Indgrowth Capital Fund, India Insight Value Fund, First Voyager, Eastspring, Target Asset Management, Baron and Doric Capital.

 

The Max Group is led by its Founder and Chairman Mr. Analjit Singh.

About Max India:

Max India, a part of the leading Indian conglomerate Max Group, has a presence in the senior living and healthcare industry. It is the holding company of Antara Senior Living and an equal joint venture partner with a 49.7% in Max Healthcare along with Radiant Life Care Private Limited (Radiant). Max India’s businesses have well-entrenched positions in their respective categories and are recognized for their outstanding service standards. Max India is listed on both the Bombay Stock Exchange as well as the National Stock Exchange. For more details, visit www.maxindia.com.",https://maxgroup.in/,,Financial Services,"10,001+ employees 25,636 on LinkedIn
            
 



    Includes members with current employer listed as The Max Group, including part-time roles. Also includes employees from subsidiaries: Antara Senior Care,Max Speciality Films Private Limited,Max Healthcare and 1 more.","New Delhi, Delhi",1985,"Life Insurance, Healthcare, Health Insurance, Senior Living, and Speciality Films"
